"ref_area.label","indicator.label","source.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Intermediate","Marital status (Aggregate): Single / Widowed / Divorced","2022",54.6,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Intermediate","Marital status (Aggregate): Married / Union / Cohabiting","2022",58.2,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Advanced","Marital status (Aggregate): Total","2022",71.8,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Advanced","Marital status (Aggregate): Single / Widowed / Divorced","2022",73,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Advanced","Marital status (Aggregate): Married / Union / Cohabiting","2022",71,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Total","Marital status (Aggregate): Total","2022",68,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Total","Marital status (Aggregate): Single / Widowed / Divorced","2022",64.3,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Total","Marital status (Aggregate): Married / Union / Cohabiting","2022",71.4,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Less than basic","Marital status (Aggregate): Total","2022",43.3,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Less than basic","Marital status (Aggregate): Single / Widowed / Divorced","2022",35.7,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Less than basic","Marital status (Aggregate): Married / Union / Cohabiting","2022",54.5,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Basic","Marital status (Aggregate): Total","2022",54.9,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Basic","Marital status (Aggregate): Single / Widowed / Divorced","2022",42.7,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Basic","Marital status (Aggregate): Married / Union / Cohabiting","2022",66.5,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Intermediate","Marital status (Aggregate): Total","2022",63.1,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Intermediate","Marital status (Aggregate): Single / Widowed / Divorced","2022",60,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Intermediate","Marital status (Aggregate): Married / Union / Cohabiting","2022",67.3,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Advanced","Marital status (Aggregate): Total","2022",76,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Advanced","Marital status (Aggregate): Single / Widowed / Divorced","2022",77.1,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Advanced","Marital status (Aggregate): Married / Union / Cohabiting","2022",75.4,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Total","Marital status (Aggregate): Total","2022",56.8,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Total","Marital status (Aggregate): Single / Widowed / Divorced","2022",55.7,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Total","Marital status (Aggregate): Married / Union / Cohabiting","2022",58,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Less than basic","Marital status (Aggregate): Total","2022",19.4,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Less than basic","Marital status (Aggregate): Single / Widowed / Divorced","2022",16.8,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Less than basic","Marital status (Aggregate): Married / Union / Cohabiting","2022",23.4,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Basic","Marital status (Aggregate): Total","2022",29.5,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Basic","Marital status (Aggregate): Single / Widowed / Divorced","2022",27.4,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Basic","Marital status (Aggregate): Married / Union / Cohabiting","2022",32.4,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Intermediate","Marital status (Aggregate): Total","2022",48.9,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Intermediate","Marital status (Aggregate): Single / Widowed / Divorced","2022",49.4,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Intermediate","Marital status (Aggregate): Married / Union / Cohabiting","2022",48.2,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Advanced","Marital status (Aggregate): Total","2022",68.2,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Advanced","Marital status (Aggregate): Single / Widowed / Divorced","2022",69.9,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Advanced","Marital status (Aggregate): Married / Union / Cohabiting","2022",66.9,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Total","Marital status (Detailed): Total","2022",62.2,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Total","Marital status (Detailed): Single","2022",66.5,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Total","Marital status (Detailed): Married","2022",64.7,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Total","Marital status (Detailed): Widowed","2022",19.2,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Total","Marital status (Detailed): Divorced or legally separated","2022",60.9,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Less than basic","Marital status (Detailed): Total","2022",31.2,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Less than basic","Marital status (Detailed): Single","2022",30.2,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Less than basic","Marital status (Detailed): Married","2022",39.1,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Less than basic","Marital status (Detailed): Widowed","2022",9.2,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Less than basic","Marital status (Detailed): Divorced or legally separated","2022",35.6,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Basic","Marital status (Detailed): Total","2022",42.6,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Basic","Marital status (Detailed): Single","2022",39,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Basic","Marital status (Detailed): Married","2022",51.6,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Basic","Marital status (Detailed): Widowed","2022",11.3,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Basic","Marital status (Detailed): Divorced or legally separated","2022",43.1,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Intermediate","Marital status (Detailed): Total","2022",56.1,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Intermediate","Marital status (Detailed): Single","2022",60.4,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Intermediate","Marital status (Detailed): Married","2022",58.2,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Intermediate","Marital status (Detailed): Widowed","2022",17,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Intermediate","Marital status (Detailed): Divorced or legally separated","2022",55.9,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Advanced","Marital status (Detailed): Total","2022",71.8,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Advanced","Marital status (Detailed): Single","2022",82.9,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Advanced","Marital status (Detailed): Married","2022",71,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Advanced","Marital status (Detailed): Widowed","2022",25.4,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Total","Education (Aggregate levels): Advanced","Marital status (Detailed): Divorced or legally separated","2022",69.5,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Total","Marital status (Detailed): Total","2022",68,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Total","Marital status (Detailed): Single","2022",68,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Total","Marital status (Detailed): Married","2022",71.4,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Total","Marital status (Detailed): Widowed","2022",23.5,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Total","Marital status (Detailed): Divorced or legally separated","2022",62.5,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Less than basic","Marital status (Detailed): Total","2022",43.3,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Less than basic","Marital status (Detailed): Single","2022",37,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Less than basic","Marital status (Detailed): Married","2022",54.5,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Less than basic","Marital status (Detailed): Widowed","2022",19.4,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Less than basic","Marital status (Detailed): Divorced or legally separated","2022",40.7,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Basic","Marital status (Detailed): Total","2022",54.9,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Basic","Marital status (Detailed): Single","2022",45.3,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Basic","Marital status (Detailed): Married","2022",66.5,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Basic","Marital status (Detailed): Widowed","2022",15.3,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Basic","Marital status (Detailed): Divorced or legally separated","2022",47.3,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Intermediate","Marital status (Detailed): Total","2022",63.1,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Intermediate","Marital status (Detailed): Single","2022",62.8,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Intermediate","Marital status (Detailed): Married","2022",67.3,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Intermediate","Marital status (Detailed): Widowed","2022",22.2,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Intermediate","Marital status (Detailed): Divorced or legally separated","2022",59.1,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Advanced","Marital status (Detailed): Total","2022",76,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Advanced","Marital status (Detailed): Single","2022",84,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Advanced","Marital status (Detailed): Married","2022",75.4,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Advanced","Marital status (Detailed): Widowed","2022",28,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Male","Education (Aggregate levels): Advanced","Marital status (Detailed): Divorced or legally separated","2022",70.2,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Total","Marital status (Detailed): Total","2022",56.8,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Total","Marital status (Detailed): Single","2022",64.7,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Total","Marital status (Detailed): Married","2022",58,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Total","Marital status (Detailed): Widowed","2022",17.8,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Total","Marital status (Detailed): Divorced or legally separated","2022",59.6,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Less than basic","Marital status (Detailed): Total","2022",19.4,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Less than basic","Marital status (Detailed): Single","2022",19.1,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Less than basic","Marital status (Detailed): Married","2022",23.4,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Less than basic","Marital status (Detailed): Widowed","2022",6.6,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Less than basic","Marital status (Detailed): Divorced or legally separated","2022",31.9,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Basic","Marital status (Detailed): Total","2022",29.5,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Basic","Marital status (Detailed): Single","2022",31.4,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"United States","Labour force participation rate by sex, education and marital status (%)","LFS - Current Population Survey","Sex: Female","Education (Aggregate levels): Basic","Marital status (Detailed): Married","2022",32.4,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
