"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes"
"AUT","SOCEXP","PRIV","PC_GDP","A",2001,2.031,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2002,1.991,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2003,1.996,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2004,1.992,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2005,1.979,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2006,1.976,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2007,2.043,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2008,2.122,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2009,2.21,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2010,2.167,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2011,2.16,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2012,2.157,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2013,2.211,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2014,2.193,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2015,2.227,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2016,2.191,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2017,2.193,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2018,2.257,NA
"AUT","SOCEXP","PRIV","PC_GDP","A",2019,2.324,NA
"AUT","SOCEXP","PUB","PC_GDP","A",1980,21.906,NA
"AUT","SOCEXP","PUB","PC_GDP","A",1985,23.205,NA
"AUT","SOCEXP","PUB","PC_GDP","A",1990,23.263,NA
"AUT","SOCEXP","PUB","PC_GDP","A",1991,23.584,NA
"AUT","SOCEXP","PUB","PC_GDP","A",1992,24.276,NA
"AUT","SOCEXP","PUB","PC_GDP","A",1993,25.675,NA
"AUT","SOCEXP","PUB","PC_GDP","A",1994,26.614,NA
"AUT","SOCEXP","PUB","PC_GDP","A",1995,26.556,NA
"AUT","SOCEXP","PUB","PC_GDP","A",1996,26.678,NA
"AUT","SOCEXP","PUB","PC_GDP","A",1997,26.18,NA
"AUT","SOCEXP","PUB","PC_GDP","A",1998,25.98,NA
"AUT","SOCEXP","PUB","PC_GDP","A",1999,26.329,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2000,26.043,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2001,26.092,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2002,26.396,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2003,26.933,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2004,26.719,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2005,26.337,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2006,26.063,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2007,25.477,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2008,25.947,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2009,27.957,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2010,28.052,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2011,27.231,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2012,27.611,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2013,28.031,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2014,28.255,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2015,28.261,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2016,28.197,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2017,27.826,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2018,27.561,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2019,27.708,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2020,31.108,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2021,31.061,NA
"AUT","SOCEXP","PUB","PC_GDP","A",2022,29.356,NA
"AUT","SOCEXP","PUBNET","PC_GDP","A",1995,21.767,NA
"AUT","SOCEXP","PUBNET","PC_GDP","A",1997,21.17,NA
"AUT","SOCEXP","PUBNET","PC_GDP","A",1999,21.29,NA
"AUT","SOCEXP","PUBNET","PC_GDP","A",2001,20.932,NA
"AUT","SOCEXP","PUBNET","PC_GDP","A",2003,21.752,NA
"AUT","SOCEXP","PUBNET","PC_GDP","A",2005,21.458,NA
"AUT","SOCEXP","PUBNET","PC_GDP","A",2007,20.941,NA
"AUT","SOCEXP","PUBNET","PC_GDP","A",2009,23.164,NA
"AUT","SOCEXP","PUBNET","PC_GDP","A",2011,22.541,NA
"AUT","SOCEXP","PUBNET","PC_GDP","A",2013,22.968,NA
"AUT","SOCEXP","PUBNET","PC_GDP","A",2015,23.09,NA
"AUT","SOCEXP","PUBNET","PC_GDP","A",2017,23.085,NA
"AUT","SOCEXP","PUBNET","PC_GDP","A",2019,22.941,NA
"AUT","SOCEXP","TOTNET","PC_GDP","A",1995,23.272,NA
"AUT","SOCEXP","TOTNET","PC_GDP","A",1997,22.582,NA
"AUT","SOCEXP","TOTNET","PC_GDP","A",1999,22.713,NA
"AUT","SOCEXP","TOTNET","PC_GDP","A",2001,22.418,NA
"AUT","SOCEXP","TOTNET","PC_GDP","A",2003,23.249,NA
"AUT","SOCEXP","TOTNET","PC_GDP","A",2005,22.945,NA
"AUT","SOCEXP","TOTNET","PC_GDP","A",2007,22.483,NA
"AUT","SOCEXP","TOTNET","PC_GDP","A",2009,24.892,NA
"AUT","SOCEXP","TOTNET","PC_GDP","A",2011,24.13,NA
"AUT","SOCEXP","TOTNET","PC_GDP","A",2013,24.688,NA
"AUT","SOCEXP","TOTNET","PC_GDP","A",2015,24.82,NA
"AUT","SOCEXP","TOTNET","PC_GDP","A",2017,24.805,NA
"AUT","SOCEXP","TOTNET","PC_GDP","A",2019,24.754,NA
"AUT","SOCEXP","PUB","USD_CAP","A",1980,6307.738,NA
"AUT","SOCEXP","PUB","USD_CAP","A",1985,7172.77,NA
"AUT","SOCEXP","PUB","USD_CAP","A",1990,8226.029,NA
"AUT","SOCEXP","PUB","USD_CAP","A",1991,8540.996,NA
"AUT","SOCEXP","PUB","USD_CAP","A",1992,8877.229,NA
"AUT","SOCEXP","PUB","USD_CAP","A",1993,9361.029,NA
"AUT","SOCEXP","PUB","USD_CAP","A",1994,9898.204,NA
"AUT","SOCEXP","PUB","USD_CAP","A",1995,10124.594,NA
"AUT","SOCEXP","PUB","USD_CAP","A",1996,10396.092,NA
"AUT","SOCEXP","PUB","USD_CAP","A",1997,10403.673,NA
"AUT","SOCEXP","PUB","USD_CAP","A",1998,10682.404,NA
"AUT","SOCEXP","PUB","USD_CAP","A",1999,11188.886,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2000,11413.529,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2001,11535.809,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2002,11804.308,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2003,12103.905,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2004,12258.895,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2005,12270.984,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2006,12497.606,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2007,12630.658,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2008,13010.114,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2009,13457.806,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2010,13719.511,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2011,13662.623,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2012,13884.807,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2013,14014.806,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2014,14109.365,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2015,14114.07,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2016,14181.054,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2017,14220.501,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2018,14367.988,NA
"AUT","SOCEXP","PUB","USD_CAP","A",2019,14594.203,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1980,0.983,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1981,1,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1982,0.99,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1983,1.004,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1984,0.822,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1985,0.825,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1986,0.869,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1987,0.901,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1988,0.893,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1989,0.856,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1990,1.563,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1991,1.546,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1992,1.922,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1993,2.348,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1994,2.27,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1995,2.083,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1996,2.014,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1997,1.935,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1998,1.88,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",1999,1.845,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2000,1.686,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2001,1.899,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2002,2.013,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2003,2.487,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2004,2.477,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2005,2.406,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2006,2.39,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2007,2.136,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2008,2.079,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2009,2.221,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2010,1.933,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2011,2.027,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2012,2.016,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2013,1.858,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2014,1.793,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2015,1.886,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2016,1.907,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2017,1.873,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2018,1.925,NA
"BEL","SOCEXP","PRIV","PC_GDP","A",2019,1.806,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1980,23.202,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1981,24.752,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1982,25.35,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1983,25.634,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1984,24.852,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1985,25.689,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1986,25.518,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1987,25.289,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1988,25.107,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1989,24.262,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1990,24.57,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1991,25.335,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1992,24.346,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1993,25.4,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1994,24.801,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1995,25.304,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1996,25.935,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1997,24.929,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1998,24.929,NA
"BEL","SOCEXP","PUB","PC_GDP","A",1999,24.73,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2000,23.655,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2001,24.123,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2002,24.504,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2003,25.061,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2004,24.826,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2005,24.685,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2006,24.595,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2007,24.339,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2008,25.745,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2009,27.979,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2010,27.666,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2011,28.101,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2012,27.962,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2013,28.34,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2014,28.394,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2015,29.055,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2016,28.426,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2017,28.275,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2018,28.355,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2019,28.218,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2020,32.28,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2021,29.705,NA
"BEL","SOCEXP","PUB","PC_GDP","A",2022,28.965,NA
"BEL","SOCEXP","PUBNET","PC_GDP","A",1993,22.026,NA
"BEL","SOCEXP","PUBNET","PC_GDP","A",1995,21.908,NA
"BEL","SOCEXP","PUBNET","PC_GDP","A",1997,21.39,NA
"BEL","SOCEXP","PUBNET","PC_GDP","A",1999,21.281,NA
"BEL","SOCEXP","PUBNET","PC_GDP","A",2001,20.463,NA
"BEL","SOCEXP","PUBNET","PC_GDP","A",2003,21.235,NA
"BEL","SOCEXP","PUBNET","PC_GDP","A",2005,20.813,NA
"BEL","SOCEXP","PUBNET","PC_GDP","A",2007,20.672,NA
"BEL","SOCEXP","PUBNET","PC_GDP","A",2009,23.874,NA
"BEL","SOCEXP","PUBNET","PC_GDP","A",2011,23.924,NA
"BEL","SOCEXP","PUBNET","PC_GDP","A",2013,24.123,NA
"BEL","SOCEXP","PUBNET","PC_GDP","A",2015,24.649,NA
"BEL","SOCEXP","PUBNET","PC_GDP","A",2017,23.964,NA
"BEL","SOCEXP","PUBNET","PC_GDP","A",2019,24.129,NA
"BEL","SOCEXP","TOTNET","PC_GDP","A",1993,23.88,NA
"BEL","SOCEXP","TOTNET","PC_GDP","A",1995,23.533,NA
"BEL","SOCEXP","TOTNET","PC_GDP","A",1997,22.878,NA
"BEL","SOCEXP","TOTNET","PC_GDP","A",1999,22.683,NA
"BEL","SOCEXP","TOTNET","PC_GDP","A",2001,21.88,NA
"BEL","SOCEXP","TOTNET","PC_GDP","A",2003,23.213,NA
"BEL","SOCEXP","TOTNET","PC_GDP","A",2005,22.719,NA
"BEL","SOCEXP","TOTNET","PC_GDP","A",2007,22.391,NA
"BEL","SOCEXP","TOTNET","PC_GDP","A",2009,25.648,NA
"BEL","SOCEXP","TOTNET","PC_GDP","A",2011,25.555,NA
"BEL","SOCEXP","TOTNET","PC_GDP","A",2013,25.627,NA
